FBgn0261614 CG42703
FBgn0040585 CG13858
FBgn0003732 Top2
FBgn0000031 AcpGI
FBgn0037442 CG10277
FBgn0029753 CG4198
FBgn0085617 CG41327
FBgn0036373 CG10741
FBgn0052532 CG32532
FBgn0036496 CG7804
FBgn0037908 dpr5
FBgn0034133 CG7813
FBgn0035229 CG7852
FBgn0030699 CG8578
FBgn0036502 CG7841
FBgn0035235 CG7879
FBgn0034061 CG8386
FBgn0037773 CG5359
FBgn0000033 AcpJ
FBgn0000034 AcpK
FBgn0028900 CG18518
FBgn0045501 Gr22a
FBgn0000041 act
FBgn0058469 CR40469
FBgn0020305 dbe
FBgn0036208 CG10361
FBgn0040531 CG11741
FBgn0051813 CG31813
FBgn0033145 CG12828
FBgn0035150 Rev1
FBgn0032884 Pomp
FBgn0032704 CG10373
FBgn0023216 Parg
FBgn0037470 CG1091
FBgn0052189 CG32189
FBgn0051459 CG31459
FBgn0052188 CG32188
FBgn0262391 mir-184
FBgn0039759 CG9733
FBgn0027657 glob1
FBgn0039758 CG9737
FBgn0000048 ad
FBgn0000201 bn
FBgn0039033 Or94a
FBgn0051466 CG31466
FBgn0032938 CG8671
FBgn0029687 Vap-33-1
FBgn0051825 CG31825
FBgn0000202 bo
FBgn0032744 CG15173
FBgn0262411 mir-92a
FBgn0035524 CG11583
FBgn0011589 elk
FBgn0034756 Cyp6d2
FBgn0002933 ng1
FBgn0000203 bod
FBgn0052986 CG32986
FBgn0000204 bord
FBgn0000205 bos
FBgn0000207 bot
FBgn0035987 CG3689
FBgn0013759 CASK
FBgn0029656 CG10793
FBgn0034626 CG10795
FBgn0034407 DptB
FBgn0000208 Bow
FBgn0000209 Bpt
FBgn0041342 Cct1
FBgn0003935 snRNA:U5:34A
FBgn0000211 bra
FBgn0000213 brb
FBgn0000049 l(1)adl1
FBgn0000051 ade1
FBgn0052510 CG32510
FBgn0038158 CG14370
FBgn0000059 ag
FBgn0000060 agn
FBgn0000062 alb
FBgn0000065 Aldox-1
FBgn0046793 CG32236
FBgn0259462 EP-469.1
FBgn0259461 C790
FBgn0259463 C442
FBgn0034438 CG9416
FBgn0259464 EP-298
FBgn0000066 Aldox-2
FBgn0261873 sdt
FBgn0051548 CG31548
FBgn0051561 Osi16
FBgn0039739 RpS28a
FBgn0000067 ale
FBgn0000068 alo
FBgn0034628 Acox57D-p
FBgn0000069 Alp
FBgn0000070 Alu
FBgn0039744 CG15526
FBgn0000072 Ama-1
FBgn0000073 Ama-2
FBgn0259465 C495
FBgn0051563 CG31563
FBgn0259466 EP-610
FBgn0052528 CG32528
FBgn0031494 CG17219
FBgn0000074 amb
FBgn0067311 CheB38b
FBgn0013751 Awh
FBgn0000080 an
FBgn0000081 ang
FBgn0000085 ano
FBgn0000086 anon-a
FBgn0086689 Hph
FBgn0000087 anon-b
FBgn0011963 tRNA:R2:84Fe
FBgn0062411 Ctr1C
FBgn0000088 anon-c
FBgn0003486 spo
FBgn0030434 CG4400
FBgn0030057 Ppt1
FBgn0027864 Ogg1
FBgn0000089 anon-d
FBgn0000090 anon-e
FBgn0002936 ninaA
FBgn0000096 ants
FBgn0259467 C166
FBgn0003391 shg
FBgn0011858 tRNA:F2:89BC
FBgn0040343 CG3713
FBgn0040984 CG4440
FBgn0013955 PR2
FBgn0012011 tRNA:V4:89BC
FBgn0000198 blo
FBgn0051171 CG31171
FBgn0030852 CG8316
FBgn0020545 kraken
FBgn0000098 aor
FBgn0027559 CG3975
FBgn0051591 tRNA:V4:90C
FBgn0036325 CG10752
FBgn0032769 CG10750
FBgn0000101 apb
FBgn0000102 aperA
FBgn0000104 aperC
FBgn0000103 aperB
FBgn0031231 mRpL10
FBgn0028399 TMS1
FBgn0000190 Bkd
FBgn0000191 bkl
FBgn0034065 Rrp42
FBgn0040395 Unc-76
FBgn0000106 Aph-1
FBgn0000110 apx
FBgn0035988 CG3982
FBgn0000112 ar
FBgn0038291 CG3984
FBgn0000113 arch
FBgn0000122 Ars
FBgn0058189 CG40189
FBgn0058096 CG40096
FBgn0085611 CG41318
FBgn0035802 CG33275
FBgn0001981 esg
FBgn0030015 CG10761
FBgn0261874 Z2-0115
FBgn0031233 CG11490
FBgn0038353 CG5399
FBgn0262373 mir-9a
FBgn0262447 mir-14
FBgn0085653 CG41492
FBgn0085654 CG41493
FBgn0085655 CG41494
FBgn0085651 CG41490
FBgn0058275 CG40275
FBgn0037336 CG2519
FBgn0024194 rasp
FBgn0037406 Osi1
FBgn0032785 CG10026
FBgn0031538 CG3246
FBgn0030846 CG12992
FBgn0024244 drm
FBgn0039590 CG10011
FBgn0030859 CG12990
FBgn0026778 Rad1
FBgn0041244 Gr39a
FBgn0029769 CG3239
FBgn0053201 CG33201
FBgn0037416 Osi9
FBgn0058207 CG40207
FBgn0085652 CG41491
FBgn0058339 CG40339
FBgn0261875 Z2-0557
FBgn0058108 CG40108
FBgn0031436 CG3214
FBgn0085571 CG41245
FBgn0031628 CG3294
FBgn0025837 CG17636
FBgn0000135 arth
FBgn0035727 CG10063
FBgn0001104 G-ialpha65A
FBgn0016698 Ptpa
FBgn0037801 CG3999
FBgn0053207 pxb
FBgn0039756 CG9743
FBgn0000136 as
FBgn0034437 CG10051
FBgn0039969 Fis1
FBgn0039863 CG1815
FBgn0030407 CG2543
FBgn0042083 CG3267
FBgn0000141 asx
FBgn0037356 CG12170
FBgn0262275 mir-2280
FBgn0262243 mir-964
FBgn0030066 CG1885
FBgn0000143 at
FBgn0000144 At
FBgn0040348 CG3703
FBgn0262251 mir-977
FBgn0042103 CG18746
FBgn0033427 CG1868
FBgn0037162 CG11449
FBgn0261376 l(1)G0060
FBgn0000151 awu
FBgn0262283 mir-985
FBgn0026389 Or43a
FBgn0000079 Amy-p
FBgn0037526 CG10092
FBgn0002930 nec
FBgn0262401 mir-285
FBgn0036369 CG10089
FBgn0262393 mir-33
FBgn0262182 mir-957
FBgn0030384 CG2577
FBgn0030345 CG1847
FBgn0033283 CG11635
FBgn0041194 Prat2
FBgn0051128 CG31128
FBgn0050406 tRNA:CR30406
FBgn0003731 Egfr
FBgn0027558 pgant3
FBgn0025807 Rad9
FBgn0000154 B
FBgn0034058 CG8315
FBgn0051179 CG31179
FBgn0051121 CG31121
FBgn0262415 mir-289
FBgn0262279 mir-983-2
FBgn0042127 CG18789
FBgn0042126 CG18788
FBgn0053980 Vsx2
FBgn0042125 CG18787
FBgn0262314 mir-978
FBgn0262460 mir-2a-2
FBgn0002856 Acp26Ab
FBgn0014868 Ost48
FBgn0262262 mir-997
FBgn0000160 bas
FBgn0000161 bat
FBgn0000162 baton
FBgn0051108 CG31108
FBgn0262405 mir-998
FBgn0002931 net
FBgn0000492 Dr
FBgn0051100 CG31100
FBgn0039869 CG1890
FBgn0262407 mir-308
FBgn0042185 CG18769
FBgn0262181 mir-972
FBgn0000164 bb
FBgn0042110 CG18765
FBgn0051159 CG31159
FBgn0262439 mir-276a
FBgn0034418 CG15118
FBgn0034413 CG15115
FBgn0034419 CG15111
FBgn0000167 bch
FBgn0034106 CG9068
FBgn0050421 CG30421
FBgn0027535 botv
FBgn0037031 CG11456
FBgn0000168 bd
FBgn0000170 bef
FBgn0050418 nord
FBgn0000174 ber
FBgn0085650 CG41489
FBgn0085606 CG41310
FBgn0058376 CG40376
FBgn0020236 ATPCL
FBgn0051174 CG31174
FBgn0036627 CG4680
FBgn0030615 Cyp4s3
FBgn0050438 CG30438
FBgn0050436 CG30436
FBgn0034467 CG15128
FBgn0040729 CG15126
FBgn0000175 bf
FBgn0050430 CG30430
FBgn0000176 Bg
FBgn0000177 bh
FBgn0000178 bhe
FBgn0033793 CG3955
FBgn0024956 Mat1
FBgn0032663 CG15153
FBgn0043854 slam
FBgn0016792 dmt
FBgn0036926 CG7646
FBgn0037172 CG6914
FBgn0037937 Fer3
FBgn0003308 ry
FBgn0050459 CG30459
FBgn0030571 CG14414
FBgn0000184 BicF
FBgn0030802 CG9099
FBgn0000185 bie
FBgn0033989 CG7639
FBgn0000189 bk
FBgn0034827 Klp59D
FBgn0000187 bis
FBgn0033548 CG7637
FBgn0037936 CG6908
FBgn0034497 CG9090
FBgn0042199 CG13713
FBgn0034067 CG8399
FBgn0034066 CG8397
FBgn0036929 CG7668
FBgn0000192 Bkm
FBgn0001994 crp
FBgn0000193 Bl
FBgn0028837 CSN6
FBgn0036236 CG6931
FBgn0000194 bla
FBgn0000195 blc
FBgn0026430 Grip84
FBgn0029502 COQ7
FBgn0000196 bld
FBgn0035582 CG13705
FBgn0050471 CG30471
FBgn0027934 alpha-Est4aPsi
FBgn0000197 Ble
FBgn0036786 skl
FBgn0034063 CG8389
FBgn0029733 CG6927
FBgn0038977 CG5376
FBgn0036423 CG3919
FBgn0050466 CG30466
FBgn0050463 CG30463
FBgn0000618 e(y)2
FBgn0031717 Oscillin
FBgn0037955 CG6950
FBgn0050496 CG30496
FBgn0037174 CG14457
FBgn0037448 CG15186
FBgn0036716 CG13728
FBgn0051674 CG31674
FBgn0000200 bly
FBgn0036711 CG13727
FBgn0036708 CG13725
FBgn0050491 CG30491
FBgn0037179 CG14453
FBgn0035554 CG13721
FBgn0259468 C345
FBgn0002525 Lam
FBgn0010403 Os-E
FBgn0085561 CG41229
FBgn0085646 CG41427
FBgn0085666 CG41521
FBgn0050482 CG30482
FBgn0031844 CG13771
FBgn0031866 neuroligin
FBgn0034281 CG14490
FBgn0039228 CG6980
FBgn0036945 CG6981
FBgn0015522 olf186-M
FBgn0034278 CG14488
FBgn0260875 tod
FBgn0030776 CG4653
FBgn0030418 CG4004
FBgn0067783 att-ORFA
FBgn0085644 CG41423
FBgn0085669 CG41526
FBgn0085814 CR41604
FBgn0260876 tot
FBgn0085778 CR40962
FBgn0085779 CR40963
FBgn0085671 CG41529
FBgn0085603 CG41297
FBgn0085816 CR41606
FBgn0085685 CG41554
FBgn0085817 CR41607
FBgn0085818 CR41608
FBgn0085819 CR41609
FBgn0085833 CR42206
FBgn0038820 CG4000
FBgn0029727 CG6978
FBgn0011763 Dp
FBgn0034245 CG14482
FBgn0040355 CG3526
FBgn0037962 CG6971
FBgn0032216 CG5384
FBgn0014031 Spat
FBgn0000524 dx
FBgn0032215 CG5385
FBgn0033368 CG13743
FBgn0023083 fray
FBgn0031598 CG3338
FBgn0023444 ebi
FBgn0038011 CG4066
FBgn0027079 Aats-val
FBgn0033158 CG12164
FBgn0027491 Cdk5alpha
FBgn0261877 Z2-2626
FBgn0023174 Prosbeta2
FBgn0002528 LanB2
FBgn0020312 CG4050
FBgn0033952 Adgf-E
FBgn0031937 CG13795
FBgn0031927 CG13792
FBgn0011928 tRNA:M3:70Fb
FBgn0031897 CG13784
FBgn0039111 Plip
FBgn0025624 CG4025
FBgn0035986 CG4022
FBgn0035357 MEP-1
FBgn0058119 CG40119
FBgn0085686 CG41555
FBgn0085687 CG41556
FBgn0085820 CR41610
FBgn0039911 CG1909
FBgn0036363 CG10140
FBgn0085693 CG41562
FBgn0085742 CR40546
FBgn0085695 CG41564
FBgn0085696 CG41566
FBgn0038247 Cad88C
FBgn0040602 CG14545
FBgn0011904 tRNA:K5:84ABa
FBgn0038735 CG4662
FBgn0032798 CG10132
FBgn0036366 CG10133
FBgn0001075 ft
FBgn0040609 CG3348
FBgn0005674 Aats-glupro
FBgn0024491 Bin1
FBgn0019938 RpI1
FBgn0036459 CG3349
FBgn0035154 CG3344
FBgn0031240 CG3345
FBgn0037827 CG4073
FBgn0037512 CG2616
FBgn0029838 CG4666
FBgn0036377 CG10710
FBgn0011927 tRNA:M3:70Fa
FBgn0042137 CG18814
FBgn0042138 CG18815
FBgn0035696 Best2
FBgn0039084 CG10175
FBgn0042132 CG18809
FBgn0042131 CG18808
FBgn0039087 CG10168
FBgn0041627 Ku80
FBgn0034882 CG5398
FBgn0005636 nvy
FBgn0030377 CG1924
FBgn0000092 CG2650
FBgn0033960 CG10151
FBgn0035753 RpL18
FBgn0013972 Gycalpha99B
FBgn0022349 CG1910
FBgn0026869 Thd1
FBgn0041626 Or19a
FBgn0028986 Spn3
FBgn0029681 CG15239
FBgn0039909 CG1970
FBgn0024555 flfl
FBgn0024841 Pcd
FBgn0024991 CG2694
FBgn0037686 RpL34b
FBgn0030504 CG2691
FBgn0011897 tRNA:K2:56EF
FBgn0032790 CG10194
FBgn0002542 lds
FBgn0030167 CG15252
FBgn0042146 CG18823
FBgn0039093 CG10183
FBgn0004513 Mdr65
FBgn0033395 Cyp4p2
FBgn0005632 faf
FBgn0027619 Adam
FBgn0037664 CG8420
FBgn0051239 CG31239
FBgn0037169 CG11404
FBgn0039042 CG13837
FBgn0037744 CG8417
FBgn0052183 Ccn
FBgn0005695 gcl
FBgn0031771 CG9140
FBgn0032021 CG7781
FBgn0051223 CG31223
FBgn0033469 CG12133
FBgn0000052 ade2
FBgn0033471 CG12134
FBgn0031769 CG9135
FBgn0035199 CG9134
FBgn0005613 Sox15
FBgn0038733 CG11407
FBgn0038133 Osi22
FBgn0042179 CG18869
FBgn0030089 AP-1gamma
FBgn0036824 CG3902
FBgn0038129 CG8449
FBgn0011966 tRNA:R:85Ca
FBgn0001987 Gli
FBgn0029090 cngl
FBgn0004619 Glu-RI
FBgn0033570 CG7712
FBgn0030101 CG12118
FBgn0083966 CG34130
FBgn0010786 l(3)02640
FBgn0026162 tRNA:K5:84ABd
FBgn0030634 CG9164
FBgn0026378 Rep
FBgn0038638 CG7702
FBgn0027568 CG5366
FBgn0032228 CG5367
FBgn0030261 CG15203
FBgn0061196 SIP3
FBgn0038127 CG8476
FBgn0039640 CG14516
FBgn0005596 yemalpha
FBgn0036509 CG7739
FBgn0026163 tRNA:K5:84ABc
FBgn0037084 Syx6
FBgn0051278 CG31278
FBgn0039647 CG14509
FBgn0039651 CG14508
FBgn0040653 IM4
FBgn0031998 CG8451
FBgn0038134 wntD
FBgn0259469 C632
FBgn0259470 C705
FBgn0024364 CG11417
FBgn0034554 CG15227
FBgn0037325 CG12147
FBgn0034551 CG15225
FBgn0039404 CG14543
FBgn0036960 CG13814
FBgn0039407 CG14544
FBgn0030508 CG15760
FBgn0032015 CG7830
FBgn0035317 osm-1
FBgn0259471 EP-241
FBgn0028853 CG15263
FBgn0035330 CG13802
FBgn0010501 Dcp-1
FBgn0033915 CG8485
FBgn0035967 CG4641
FBgn0015001 iotaTry
FBgn0034880 alphaPS5
FBgn0001142 Gs1
FBgn0029868 CG3446
FBgn0051297 CG31297
FBgn0051291 CG31291
FBgn0030166 CG15251
FBgn0030165 CG15250
FBgn0039618 CG14520
FBgn0015721 king-tubby
FBgn0038960 CG13855
FBgn0040645 CG14581
FBgn0040646 CG14580
FBgn0038964 Nop56
FBgn0038961 CG13850
FBgn0038984 CG5315
FBgn0001965 Sos
FBgn0030215 CG15296
FBgn0261878 Z2-2729
FBgn0037131 CG14564
FBgn0037142 CG14562
FBgn0039698 CG7789
FBgn0034096 CG7786
FBgn0033051 dream
FBgn0028531 CG15286
FBgn0032546 pburs
FBgn0032025 CG7778
FBgn0039098 CG13822
FBgn0039405 CG14550
FBgn0000581 E(Pc)
FBgn0020616 SA
FBgn0037291 CG14662
FBgn0004066 Pros28.1
FBgn0011787 mRpL12
FBgn0035002 CG3419
FBgn0000299 Cg25C
FBgn0030731 CG3415
FBgn0034718 wdp
FBgn0037081 CG6049
FBgn0031573 CG3407
FBgn0035168 CG13889
FBgn0032889 CG9331
FBgn0003285 rst
FBgn0034503 MED8
FBgn0085697 CG41568
FBgn0085698 CG41569
FBgn0085777 CR40959
FBgn0085701 CG41574
FBgn0085702 CG41576
FBgn0034363 CG5327
FBgn0038959 CG13856
FBgn0023542 Nmd3
FBgn0062463 CR32028
FBgn0002526 LanA
FBgn0024230 Hs2st
FBgn0028691 Rpn9
FBgn0005619 Hdc
FBgn0001977 l(2)35Bg
FBgn0001255 ImpE3
FBgn0000214 brc
FBgn0015245 Hsp60
FBgn0023415 Acp32CD
FBgn0000215 brd
FBgn0002563 Lsp1beta
FBgn0035996 CG3448
FBgn0035241 CG12105
FBgn0000376 crm
FBgn0024980 Syx4
FBgn0003048 pcx
FBgn0035092 Nplp1
FBgn0003046 Pcp
FBgn0000520 dwg
FBgn0027783 SMC2
FBgn0028434 Ercc1
FBgn0085704 CG41578
FBgn0085555 CG41018
FBgn0085821 CR41612
FBgn0085709 CG41584
FBgn0085806 CR41585
FBgn0031256 CG4164
FBgn0033971 CG10209
FBgn0011327 Uch-L3
FBgn0030100 CG12106
FBgn0001983 wor
FBgn0017482 T3dh
FBgn0001986 l(2)35Df
FBgn0000217 bre
FBgn0030577 CG5334
FBgn0000218 brh
FBgn0034365 CG5335
FBgn0029932 CG4607
FBgn0037439 CG10286
FBgn0039488 CG6066
FBgn0026616 alpha-Man-IIb
FBgn0037395 CG10280
FBgn0029828 CG6067
FBgn0030048 CG12112
FBgn0000219 bri
FBgn0003977 vir
FBgn0037537 CG2767
FBgn0035007 CG3492
FBgn0034854 CG3493
FBgn0030097 CG12115
FBgn0030041 CG12116
FBgn0039244 CG11069
FBgn0033912 RpS23
FBgn0004839 otk
FBgn0000222 brw
FBgn0039930 CG11077
FBgn0002607 RpL19
FBgn0000225 Bsb
FBgn0034367 sec6
FBgn0030528 CG11095
FBgn0038981 CG5346
FBgn0022800 Cad96Ca
FBgn0000226 bsc
FBgn0000230 bsp
FBgn0036428 CG9238
FBgn0011761 dhd
FBgn0033917 CG8503
FBgn0000231 bss
FBgn0000234 btdl
FBgn0031845 CG9232
FBgn0033724 CG8501
FBgn0032248 CG5343
FBgn0000235 btm
FBgn0003463 sog
FBgn0031784 CG9222
FBgn0051308 CG31308
FBgn0029936 CG4617
FBgn0052037 CG32037
FBgn0000236 bu
FBgn0000116 Argk
FBgn0000237 bul
FBgn0051300 CG31300
FBgn0030655 CG9213
FBgn0030109 CG12121
FBgn0052027 CG32027
FBgn0000238 buo
FBgn0052021 CG32021
FBgn0033669 CG8979
FBgn0004188 snRNA:U6:96Aa
FBgn0001108 Gl
FBgn0032910 CG9265
FBgn0035791 CG8539
FBgn0052016 CG32016
FBgn0000240 bv
FBgn0032886 CG9328
FBgn0052074 CG32074
FBgn0051344 CG31344
FBgn0052071 CG32071
FBgn0000243 Bxd
FBgn0012000 tRNA:V3b:84Dc
FBgn0000245 c
FBgn0052066 CG32066
FBgn0000248 cab
FBgn0052065 CG32065
FBgn0000252 cal
FBgn0052060 CG32060
FBgn0051797 CG31797
FBgn0000254 Cbp82F
FBgn0032926 CG9243
FBgn0000239 bur
FBgn0052055 CG32055
FBgn0051321 CG31321
FBgn0038183 CG9286
FBgn0032057 CG9287
FBgn0000260 cast
FBgn0000262 cau
FBgn0000263 cb
FBgn0000264 Cb
FBgn0000266 cbd
FBgn0013275 Hsp70Aa
FBgn0259472 EP-140
FBgn0004406 tam
FBgn0029814 CG15765
FBgn0027784 Prp18
FBgn0000267 cbf
FBgn0033741 CG8545
FBgn0001220 Hsc70-5
FBgn0035787 CG8543
FBgn0051495 CG31495
FBgn0032017 CG7810
FBgn0050489 Cyp12d1-p
FBgn0052085 CG32085
FBgn0030133 CG15316
FBgn0030173 CG15313
FBgn0011592 fra
FBgn0030174 CG15312
FBgn0032013 Scgalpha
FBgn0051397 CG31397
FBgn0051395 CG31395
FBgn0000269 ccb
FBgn0000270 ccd
FBgn0000271 ccw
FBgn0030695 PGRP-LE
FBgn0000272 cd
FBgn0034127 CG7848
FBgn0003499 sr
FBgn0010516 wal
FBgn0031184 CG14615
FBgn0032014 CG7840
FBgn0040928 CG15345
FBgn0051389 CG31389
FBgn0030032 CG15344
FBgn0033752 CG8569
FBgn0000282 cel
FBgn0000284 cf
FBgn0029568 CG11381
FBgn0035777 CG8563
FBgn0035781 CG8560
FBgn0037483 CG14609
FBgn0037001 CG6020
FBgn0037486 CG14605
FBgn0000288 cff
FBgn0025712 CG13920
FBgn0004603 Src42A
FBgn0030889 CG15373
FBgn0040467 Dip1
FBgn0029692 CG15376
FBgn0040687 CG14645
FBgn0029694 CG15375
FBgn0042092 CG13773
FBgn0004876 cdi
FBgn0032243 Klp31E
FBgn0029766 CG15784
FBgn0000290 Cg10AB
FBgn0030653 CG7860
FBgn0035769 CTCF
FBgn0030080 CG15366
FBgn0038351 CG5302
FBgn0037342 CG2931
FBgn0035173 CG13907
FBgn0033716 Den1
FBgn0000450 dic
FBgn0000452 dil
FBgn0000453 Dip-A
FBgn0010497 l(2)01810
FBgn0033320 CG8586
FBgn0026738 CG7857
FBgn0035770 pst
FBgn0033322 CG8584
FBgn0000458 dis
FBgn0038118 timeout
FBgn0032825 CG13958
FBgn0011474 pr-set7
FBgn0000460 Dk
FBgn0037835 CG14687
FBgn0000469 dlmd
FBgn0030739 CG13957
FBgn0040207 kat80
FBgn0000470 dlv
FBgn0000471 Dly
FBgn0000475 dn
FBgn0000478 DNase2
FBgn0037352 CG14673
FBgn0044823 Spec2
FBgn0029826 CG6041
FBgn0040068 vav
FBgn0034743 RpS16
FBgn0035259 CG13932
FBgn0019643 Dat
FBgn0033048 CG7881
FBgn0037282 CG14657
FBgn0035246 CG13928
FBgn0037275 CG14655
FBgn0037273 CG14654
FBgn0031394 CG15383
FBgn0030399 CG15729
FBgn0011726 tsr
FBgn0037882 CG17187
FBgn0027571 CG3523
FBgn0034859 CG3520
FBgn0028372 isopeptidase-T-3
FBgn0031431 CG3515
FBgn0019890 Smg5
FBgn0002593 RpLP1
FBgn0037583 CG9684
FBgn0031772 CG13994
FBgn0000483 dot
FBgn0038252 CG3509
FBgn0038251 CG3508
FBgn0000484 double
FBgn0031786 CG13989
FBgn0051345 CG31345
FBgn0039680 CAP-D2
FBgn0031792 CG13983
FBgn0030390 CG15731
FBgn0003683 term
FBgn0032840 sNPF
FBgn0037845 CG14694
FBgn0038302 CG4210
FBgn0028873 CG31771
FBgn0261879 Z2-3941
FBgn0010014 CanB
FBgn0000485 dow
FBgn0032690 CG10333
FBgn0033149 CG11060
FBgn0037020 CG4289
FBgn0025681 CG3558
FBgn0029708 CG3556
FBgn0003386 Shaw
FBgn0051772 CG31772
FBgn0015520 nonA-l
FBgn0040524 CG11052
FBgn0034643 CG10321
FBgn0000491 dr
FBgn0023489 Pph13
FBgn0000493 drb
FBgn0000495 drg
FBgn0001086 fzy
FBgn0000496 drw
FBgn0030352 CG15738
FBgn0034931 CG2812
FBgn0038420 CG10311
FBgn0004055 uzip
FBgn0037979 CG3532
FBgn0034655 CG10307
FBgn0034654 CG10306
FBgn0037544 CG11035
FBgn0000501 dsp
FBgn0035315 CG8960
FBgn0041180 TepIV
FBgn0030358 CG10362
FBgn0000502 dsr
FBgn0000503 dss
FBgn0025809 Paf-AHalpha
FBgn0022960 vimar
FBgn0032703 CG10343
FBgn0035034 CG3565
FBgn0032805 CG10337
FBgn0001124 Got1
FBgn0030338 CG15741
FBgn0027091 Aats-cys
FBgn0052118 CG32118
FBgn0052111 CG32111
FBgn0003270 amos
FBgn0044809 TotZ
FBgn0029672 CG2875
FBgn0041721 snRNA:U12:73B
FBgn0028343 l(1)G0222
FBgn0003514 sqh
FBgn0035063 Eap
FBgn0029642 CG3592
FBgn0021874 Nle
FBgn0039109 CG10365
FBgn0052161 CG32161
FBgn0030092 fh
FBgn0012058 Cdc27
FBgn0030693 CG8974
FBgn0001404 egh
FBgn0034504 CG8929
FBgn0052152 CG32152
FBgn0051422 CG31422
FBgn0032899 CG9338
FBgn0032897 CG9336
FBgn0035760 CG8607
FBgn0027356 Amph
FBgn0051745 CG31745
FBgn0051419 CG31419
FBgn0051418 CG31418
FBgn0004873 hts
FBgn0052475 mthl8
FBgn0042630 Sox21b
FBgn0032880 CG9318
FBgn0052479 CG32479
FBgn0015600 toc
FBgn0001990 wek
FBgn0002577 m
FBgn0033317 CG8635
FBgn0033762 CG8632
FBgn0030332 CG9360
FBgn0038130 CG8630
FBgn0052179 Krn
FBgn0035742 CG8629
FBgn0037688 CG9356
FBgn0036856 CG9666
FBgn0033303 Cyp6a15Psi
FBgn0052167 CG32167
FBgn0030837 CG8661
FBgn0027609 morgue
FBgn0001281 janB
FBgn0036911 Fibp
FBgn0051475 CG31475
FBgn0024833 AP-47
FBgn0020930 Dgkepsilon
FBgn0027549 CG7927
FBgn0026754 Ugt37c1
FBgn0025458 BubR1
FBgn0003250 Rh4
FBgn0035094 CG9380
FBgn0047351 CG31468
FBgn0051461 CG31461
FBgn0052193 CG32193
FBgn0046888 Gr36d
FBgn0024238 Fim
FBgn0025832 Fen1
FBgn0051752 CG31752
FBgn0036891 CG9372
FBgn0001203 Hk
FBgn0037964 CG14731
FBgn0031130 CG15452
FBgn0037942 CG14721
FBgn0026577 CG8677
FBgn0036919 Grasp65
FBgn0012028 tRNA:Y1:85Ae
FBgn0051488 CG31488
FBgn0037938 CG14717
FBgn0031161 CG15445
FBgn0037933 Ho
FBgn0051481 pb
FBgn0040506 ACXE
FBgn0004863 C15
FBgn0037710 CG9393
FBgn0038585 CG7993
FBgn0031004 CG7992
FBgn0030997 CG7990
FBgn0038894 CG15497
FBgn0026390 Or33c
FBgn0030777 CG9672
FBgn0033300 CG14754
FBgn0032487 Ski6
FBgn0051361 dpr17
FBgn0030815 CG8945
FBgn0034658 Grx-1
FBgn0030775 CG9673
FBgn0033316 CG14749
FBgn0032518 RpL24
FBgn0032865 CG15477
FBgn0043575 PGRP-SC2
FBgn0036663 CG9674
FBgn0010591 Sply
FBgn0030773 CG9676
FBgn0028532 CG7968
FBgn0002571 LvpL
FBgn0002570 LvpH
FBgn0035251 CG7967
FBgn0002569 LvpD
FBgn0010350 CdsA
FBgn0013755 Bro
FBgn0003174 pwn
FBgn0033160 CG11107
FBgn0037200 CG11109
FBgn0030417 CG15725
FBgn0026060 Mipp2
FBgn0003319 Sb
FBgn0032229 CG5045
FBgn0010611 Hmgs
FBgn0032222 CG5037
FBgn0027795 CG14785
FBgn0027794 CG14786
FBgn0243498 l(2)CA07436
FBgn0026872 CG14777
FBgn0040893 CG14774
FBgn0036294 CG10654
FBgn0021796 Tor
FBgn0037026 CG3634
FBgn0034493 CG8908
FBgn0023540 CG3630
FBgn0039344 CG4582
FBgn0031245 CG3625
FBgn0035953 CG5087
FBgn0037203 slif
FBgn0033169 CG11123
FBgn0030266 CG11122
FBgn0040357 CG14624
FBgn0015040 Cyp9c1
FBgn0033165 CG11113
FBgn0243499 l(3)CC00864
FBgn0036953 CG17145
FBgn0038313 CG4338
FBgn0022709 Adk1
FBgn0030507 CG11164
FBgn0040358 CG14625
FBgn0030257 CG11160
FBgn0051928 CG31928
FBgn0003310 S
FBgn0243500 l(3)CB02667
FBgn0029897 RpL17
FBgn0036273 CG10426
FBgn0029804 CG3097
FBgn0031295 CG4375
FBgn0005660 Ets21C
FBgn0034665 CG4372
FBgn0015621 Clp
FBgn0025833 CG8910
FBgn0013987 MAPk-Ak2
FBgn0052205 CR32205
FBgn0031267 Ipk2
FBgn0034183 CG9642
FBgn0038465 Irc
FBgn0034184 CG9646
FBgn0031734 CG11147
FBgn0053335 CG33335
FBgn0032691 CG10414
FBgn0029810 CG12239
FBgn0010750 atms
FBgn0051735 CG31735
FBgn0053194 CheA29a
FBgn0029811 Cpr5C
FBgn0042173 CG18853
FBgn0035047 Pof
FBgn0046704 Liprin-alpha
FBgn0033248 CG11196
FBgn0032822 CG10466
FBgn0027788 Hey
FBgn0052468 CG32468
FBgn0051739 CG31739
FBgn0261574 kug
FBgn0002590 RpS5a
FBgn0030035 CG11190
FBgn0034097 CG3687
FBgn0261378 mgg
FBgn0010258 Rbp4
FBgn0031868 Rat1
FBgn0038404 CG8925
FBgn0026630 nes
FBgn0029809 CG15767
FBgn0085194 CG34165
FBgn0261379 rad
FBgn0031851 CG11188
FBgn0030711 CG8928
FBgn0000392 cup
